key|audience|scope|class|theme|guard|subject|body
funding-account-changed|customer|core|essential|security|partner_funding_details_change_committed|Your funding instructions changed|Your bank-transfer funding details have changed. Use only the current instructions shown inside the app.
funding-received|customer|core|transactional|receipt|funding_credit_posted_with_verified_evidence|Funds credited to your wallet|We credited {{amount}} to your wallet. Reference: {{reference}}. Open the app for the full transaction record.
funding-pending|customer|core|transactional|core|identified_incoming_funds_unresolved|Incoming funds are being checked|An incoming payment is still being checked. It is not yet available to spend. Open the app for the current status.
funding-information-needed|customer|core|essential|support|funding_case_customer_action_approved|Information needed about a payment|Please open your support case to provide the requested payment information securely. Do not repeat the payment merely because it is pending.
funding-return-started|customer|core|transactional|support|funding_return_instruction_accepted|A payment return is in progress|A return of an incoming payment is being processed. This message does not confirm receipt by the originating bank.
funding-return-completed|customer|core|transactional|receipt|funding_return_confirmed_and_posted|Payment return completed|A return of {{amount}} was confirmed. Reference: {{reference}}. View the full record and destination status in the app.
funding-credit-corrected|customer|core|essential|receipt|approved_compensating_journal_posted|A wallet credit was corrected|A correction involving {{amount}} was posted to your wallet. Reference: {{reference}}. Review the explanation and support options in the app.
wallet-hold-placed|customer|core|essential|support|customer_visible_hold_committed|An amount is temporarily on hold|An amount in your wallet is temporarily unavailable. Open the app for the permitted details and support options.
wallet-hold-released|customer|core|transactional|core|hold_release_committed|A wallet hold was released|A hold on your wallet was released. Your current available balance is shown in the app.
wallet-low-balance|customer|core|optional|core|user_threshold_crossed_and_not_repeated|Your balance alert|Your balance reached the alert threshold you selected. Open the app to review it.
transfer-submitted|customer|core|transactional|core|transfer_accepted_not_terminal|Transfer request received|We received your transfer request. It has not yet been confirmed as completed. Track the original transfer in the app.
transfer-pending|customer|core|transactional|core|transfer_unresolved_after_notice_threshold|Your transfer is still pending|We are still checking your transfer. Do not repeat it based only on this delay. We will update the original transaction when its status is confirmed.
transfer-action-required|customer|core|essential|support|transfer_customer_action_approved|Your transfer needs attention|Open the app for the information needed to continue your transfer. Do not send banking credentials or a PIN by email.
transfer-completed|customer|core|transactional|receipt|transfer_success_confirmed_and_posted|Transfer completed|Your transfer of {{amount}} was confirmed as completed. Reference: {{reference}}. View the receipt in the app.
transfer-failed|customer|core|transactional|support|definitive_transfer_failure_and_hold_resolved|Transfer could not be completed|Your transfer was confirmed as unsuccessful. Open the app to review the balance adjustment and available next steps.
transfer-cancelled|customer|core|transactional|support|supported_presubmission_cancellation_committed|Transfer cancelled|Your transfer was cancelled before execution as shown in the app. This message does not promise cancellation of already submitted bank transfers.
transfer-return-pending|customer|core|transactional|support|transfer_return_advice_unresolved|A transfer return is being checked|We received information about a possible returned transfer. Any wallet credit will appear only after the return is verified and posted.
transfer-returned|customer|core|transactional|receipt|returned_funds_verified_and_credit_posted|Returned transfer credited|A returned transfer of {{amount}} was credited to your wallet. Reference: {{reference}}. View the linked original transfer in the app.
transfer-internal-received|customer|core|transactional|receipt|internal_transfer_credit_posted|You received a wallet transfer|You received {{amount}} into your wallet. Reference: {{reference}}. Open the app to view the details.
transfer-beneficiary-added|customer|core|essential|security|beneficiary_saved_committed|A beneficiary was added|A transfer beneficiary was saved to your account. Review your beneficiaries in the app if this was unexpected.
transfer-beneficiary-changed|customer|core|essential|security|beneficiary_sensitive_change_committed|A beneficiary was changed|A saved beneficiary was changed. Review the verified details in the app before authorising any transfer.
transfer-receipt-requested|customer|core|transactional|receipt|receipt_requested_for_existing_final_record|Your requested transfer receipt|Your receipt for {{amount}} is ready. Reference: {{reference}}. This is a copy of an existing transaction, not a new transfer.
bills-order-received|customer|core|transactional|core|bill_order_accepted_not_final|Bill payment request received|We received your bill payment request. The purchase is not yet confirmed. Track the original order in the app.
bills-order-pending|customer|core|transactional|support|bill_vend_unresolved_after_threshold|Your bill payment is still pending|We are checking your bill payment with the provider. Do not repeat the purchase based only on the delay.
bills-airtime-completed|customer|core|transactional|receipt|airtime_provider_success_and_posting_confirmed|Airtime purchase completed|Your airtime purchase of {{amount}} was confirmed. Reference: {{reference}}. View the destination and receipt in the app.
bills-data-completed|customer|core|transactional|receipt|data_provider_success_and_posting_confirmed|Data purchase completed|Your data purchase of {{amount}} was confirmed. Reference: {{reference}}. Your plan details are available in the app.
bills-electricity-prepaid|customer|core|transactional|receipt|electricity_success_and_token_stored|Electricity token is ready|Your prepaid electricity purchase of {{amount}} was confirmed. Reference: {{reference}}. Open the app securely to view your token.
bills-electricity-postpaid|customer|core|transactional|receipt|postpaid_electricity_payment_confirmed|Electricity payment completed|Your electricity bill payment of {{amount}} was confirmed. Reference: {{reference}}. View the receipt in the app.
bills-tv-completed|customer|core|transactional|receipt|television_subscription_confirmed|Television subscription completed|Your television subscription payment of {{amount}} was confirmed. Reference: {{reference}}. View the package and receipt in the app.
bills-internet-completed|customer|core|transactional|receipt|internet_subscription_confirmed|Internet payment completed|Your internet payment of {{amount}} was confirmed. Reference: {{reference}}. View the service details in the app.
bills-other-completed|customer|core|transactional|receipt|approved_biller_fulfilment_confirmed|Bill payment completed|Your bill payment of {{amount}} was confirmed. Reference: {{reference}}. The service details are available in the app.
bills-fulfilment-delayed|customer|core|essential|support|payment_confirmed_value_delivery_outstanding|Your bill payment value is delayed|Your payment was confirmed, but delivery of the purchased value is still being checked. Do not pay again for the same order.
bills-fulfilment-recovered|customer|core|transactional|support|original_order_value_recovered_no_revend|Your purchased value is available|The value from your original order is now available in the app. No new purchase was made to recover it.
bills-failed|customer|core|transactional|support|definitive_bill_failure_and_funds_resolved|Bill payment could not be completed|The provider confirmed that your bill purchase did not complete. Open the app to review the funds adjustment and next steps.
bills-refund-pending|customer|core|transactional|support|bill_refund_accepted_not_posted|Bill refund is being processed|Your bill refund is being processed. The app will show a credit when it has been confirmed and posted.
bills-refunded|customer|core|transactional|receipt|bill_refund_confirmed_and_credit_posted|Bill refund credited|A bill refund of {{amount}} was credited to your wallet. Reference: {{reference}}. View the linked order in the app.
bills-reminder|customer|core|optional|core|user_reminder_due_and_bill_not_already_paid|Your bill payment reminder|This is the bill reminder you requested. Review the current bill details in the app. No payment has been made by this reminder.
records-statement-ready|customer|core|transactional|core|statement_export_authorised_and_ready|Your statement is ready|The statement you requested is ready. Sign in to download it securely before the access link expires.
records-statement-failed|customer|core|transactional|support|statement_export_failed_final|Statement request needs another attempt|We could not prepare your requested statement. Open the app to retry or contact support.
records-monthly-summary|customer|core|optional|core|monthly_summary_ready_and_opted_in|Your monthly account summary|Your monthly account summary is ready inside the app. This email does not contain your full balance or transaction history.
records-data-request-received|customer|core|essential|support|privacy_request_verified_and_recorded|Privacy request received|We received your verified privacy request. Follow the secure case in the app for its scope and expected response date.
records-data-export-ready|customer|core|essential|security|privacy_export_ready_and_access_authorised|Your requested data is ready|Your requested data export is ready. Access it through the verified process shown in the app. Do not forward access credentials.
records-data-request-closed|customer|core|essential|support|privacy_request_response_approved|Update on your privacy request|A response to your privacy request is available through the secure support process. Review it for completed actions and any applicable retention exceptions.
support-case-opened|customer|core|transactional|support|support_case_created|Support case received|Your support case {{reference}} was created. Open the app to view it and provide information securely.
support-reply-received|customer|core|transactional|support|customer_visible_support_reply_published|You have a support reply|There is a new reply on support case {{reference}}. Open the app to read it securely.
support-information-needed|customer|core|essential|support|support_customer_action_due|Your support case needs information|Please open support case {{reference}} to provide the requested information. Never send your PIN or password by email.
support-escalated|customer|core|transactional|support|customer_visible_escalation_published|Your support case was escalated|Support case {{reference}} was escalated. Open the app for its current status and the next update.
support-resolved|customer|core|transactional|support|customer_resolution_published|Your support case has an update|A resolution was published for case {{reference}}. Review it in the app and use the available review process if the issue remains.
support-reopened|customer|core|transactional|support|support_case_reopened|Your support case was reopened|Support case {{reference}} was reopened. You can continue the conversation in the app.
dispute-received|customer|core|essential|support|dispute_case_accepted|Dispute received|Your dispute {{reference}} was received. Open the app for the evidence requested and relevant response dates.
dispute-evidence-due|customer|core|essential|support|dispute_evidence_deadline_active|Evidence is needed for your dispute|Your dispute {{reference}} needs additional evidence. Open the app to see the exact deadline and upload instructions.
dispute-outcome|customer|core|essential|support|customer_safe_dispute_decision_approved|Your dispute outcome is available|An outcome is available for dispute {{reference}}. Review the decision, financial effects and any review options securely in the app.
service-maintenance-planned|customer|core|essential|core|approved_maintenance_notice_affected_audience|Planned service maintenance|A service you use has planned maintenance. Open the app for the exact time window and affected features.
service-disruption|customer|core|essential|support|incident_notice_approved_affected_audience|Service availability update|A service you use is experiencing disruption. Track existing payments in the app and avoid repeating unresolved transactions.
service-restored|customer|core|essential|core|service_recovery_verified_notice_approved|Service availability restored|The affected service has been restored. Any unresolved transactions continue to be tracked separately in the app.
service-fees-changing|customer|core|essential|core|fee_notice_approved_before_effective_date|Upcoming fee changes|A fee change affecting your account is scheduled. Open the app to review the exact changes and their effective date before transacting.
service-terms-changing|customer|core|essential|core|terms_notice_approved_for_affected_users|Terms update|Updated terms are available for your account. Review the effective date, changes and any choices in the app.
service-privacy-changing|customer|core|essential|core|privacy_notice_approved_for_affected_users|Privacy notice update|An updated privacy notice is available. Open the app to review the changes, effective date and your available choices.
service-consent-recorded|customer|core|essential|core|consent_change_committed|Your communication choices changed|Your communication preferences were updated. You can review them in the app. Essential account notices are handled separately.
service-app-update-required|customer|core|essential|security|minimum_app_version_policy_applies|Update your app to continue|Your installed app version needs updating. Use the official application store or the trusted link inside your existing app.
staff-invitation|staff-admin|core|operational|security|staff_invite_active_authorised|Qpay-Fintech staff invitation|You have been invited to the operations platform. Use the separately verified onboarding process. This email does not grant permissions by itself.
staff-invitation-expiring|staff-admin|core|operational|security|staff_invite_near_expiry_and_unused|Staff invitation reminder|Your staff invitation is approaching expiry. Contact your authorised administrator to complete onboarding securely.
staff-role-changed|staff-admin|core|operational|security|staff_role_change_committed|Your staff permissions changed|Your operations-platform role was updated. Review the current permissions and contact your administrator if the change was unexpected.
staff-access-revoked|staff-admin|core|operational|security|staff_access_revocation_committed|Staff access revoked|Your operations-platform access was revoked. Contact your organisation administrator through an established channel for questions.
staff-new-device|staff-admin|core|operational|security|staff_new_device_session_established|New staff device sign-in|A new device signed in to your staff account. Review it using the secure operations access process.
staff-mfa-changed|staff-admin|core|operational|security|staff_mfa_change_committed|Staff authentication changed|Your staff authentication settings were changed. Report an unexpected change immediately through the incident process.
staff-approval-needed|staff-admin|core|operational|operations|independent_approval_pending_and_recipient_eligible|An approval needs your review|An operation requires your independent review. Reference: {{reference}}. Sign in to the admin dashboard; email replies cannot approve it.
staff-approval-expiring|staff-admin|core|operational|operations|approval_pending_near_expiry|Approval deadline approaching|An approval is nearing its deadline. Reference: {{reference}}. Review the current state in the admin dashboard before acting.
staff-approval-result|staff-admin|core|operational|operations|approval_decision_committed|Approval decision recorded|A decision was recorded for {{reference}}. Execution and settlement, when relevant, are tracked separately in the admin dashboard.
staff-kyc-queue|staff-support|core|operational|operations|kyc_queue_threshold_crossed|Identity review queue needs attention|The identity review queue requires attention. Open the authorised dashboard queue. No identity documents are attached to this email.
staff-support-assigned|staff-support|core|operational|operations|support_assignment_current|A support case was assigned|Case {{reference}} is assigned to your team. Sign in to review the permitted case information.
staff-support-sla|staff-support|core|operational|operations|support_sla_threshold_crossed|Support response target at risk|Case {{reference}} has reached an escalation threshold. Review it in the authorised support dashboard.
staff-dispute-deadline|staff-support|core|operational|operations|dispute_response_deadline_active|Dispute response deadline approaching|Dispute {{reference}} needs an authorised response. Open the dashboard for the exact deadline and evidence requirements.
finance-low-float|staff-finance|core|operational|operations|provider_float_threshold_crossed|Provider float needs attention|A provider balance reached its configured threshold. Reference: {{reference}}. Review treasury records before taking action.
finance-float-critical|staff-finance|core|operational|operations|provider_float_critical_threshold_crossed|Provider float reached a critical threshold|Treasury action may be required for {{reference}}. Review verified provider balances and any affected service controls in the dashboard.
finance-reconciliation-break|staff-finance|core|operational|operations|reconciliation_break_created_or_escalated|Reconciliation exception detected|A reconciliation exception requires review. Reference: {{reference}}. Do not adjust balances outside the approved correction workflow.
finance-reconciliation-summary|staff-finance|core|operational|operations|reconciliation_run_completed|Reconciliation report ready|The reconciliation report is ready. Reference: {{reference}}. Completion of the run does not mean all exceptions are resolved.
finance-aged-pending|staff-finance|core|operational|operations|unresolved_financial_operation_age_threshold|Unresolved payment needs investigation|An unresolved payment reached its investigation threshold. Reference: {{reference}}. Query the original operation; do not submit a replacement blindly.
finance-unmatched-funding|staff-finance|core|operational|operations|unmatched_funding_case_created|Unmatched incoming payment|An incoming payment could not be safely matched. Reference: {{reference}}. Investigate verified records before posting any credit.
finance-settlement-due|staff-finance|core|operational|operations|settlement_expected_by_policy|Settlement requires review|A settlement requires review. Reference: {{reference}}. Use verified bank and provider records in the dashboard.
finance-settlement-confirmed|staff-finance|core|operational|operations|settlement_verified_and_reconciled|Settlement confirmation available|Settlement confirmation is available for {{reference}}. Review the reconciliation evidence in the finance dashboard.
finance-settlement-overdue|staff-finance|core|operational|operations|settlement_overdue_not_resolved|Settlement is overdue|Settlement {{reference}} is overdue under the current policy. Follow the escalation runbook and preserve the original references.
finance-refund-approval|staff-finance|core|operational|operations|refund_proposal_awaits_independent_approval|Refund proposal needs review|A refund proposal requires independent review. Reference: {{reference}}. This notification does not authorise or execute a refund.
finance-correction-posted|staff-finance|core|operational|operations|approved_correction_posted|Approved correction posted|The approved correction for {{reference}} was posted. Review the linked journals and rerun the relevant reconciliation.
finance-report-ready|staff-finance|core|operational|operations|finance_export_ready_authorised|Finance report ready|A finance report is ready. Reference: {{reference}}. Download it through the authorised dashboard, not an email attachment.
risk-case-created|staff-security|core|operational|operations|restricted_risk_case_created|Restricted review required|A restricted case needs attention. Reference: {{reference}}. Details are available only to authorised reviewers in the dashboard.
risk-case-escalated|staff-security|core|operational|operations|restricted_case_escalation_committed|Restricted case escalated|Case {{reference}} was escalated. Use the restricted review queue and do not forward sensitive case details by email.
risk-sensitive-action|staff-security|core|operational|operations|privileged_action_audit_recorded|Privileged action recorded|A privileged action was recorded. Reference: {{reference}}. Review the audit record through the authorised security dashboard.
risk-data-incident|staff-security|core|operational|operations|security_incident_opened|Security incident requires response|Incident {{reference}} requires an authorised response. Use the independent incident process and approved communication plan.
risk-customer-notice|customer|core|essential|security|incident_customer_notice_legally_approved|Important account security notice|An important security notice affecting your account is available. Open the app through a trusted route for the approved details and actions.
platform-notification-backlog|staff-platform|core|operational|operations|notification_backlog_threshold_crossed|Notification backlog detected|Notification processing is delayed. Reference: {{reference}}. Follow the delivery runbook and monitor through an independent alert channel.
platform-email-provider-failure|staff-platform|core|operational|operations|email_provider_failure_threshold_crossed|Email provider delivery issue|Email delivery needs investigation. Reference: {{reference}}. Use the independent incident channel if this email path is unavailable.
platform-bounce-spike|staff-platform|core|operational|operations|bounce_threshold_crossed|Email bounce rate needs attention|The email bounce threshold was crossed. Reference: {{reference}}. Review suppression and sender reputation before resuming affected sends.
platform-complaint-spike|staff-platform|core|operational|operations|complaint_threshold_crossed|Email complaints need attention|A complaint threshold was crossed. Reference: {{reference}}. Pause affected optional traffic and review the consent and delivery records.
platform-dead-letter|staff-platform|core|operational|operations|notification_dead_letter_created_or_escalated|Notification requires investigation|A notification could not be processed safely. Reference: {{reference}}. Review its current state before any controlled retry.
platform-bridge-unhealthy|staff-platform|core|operational|operations|bridge_health_check_failed|Notification bridge health alert|The notification bridge requires attention. Reference: {{reference}}. Use independent monitoring because this same delivery path may be impaired.
platform-backup-failed|staff-platform|core|operational|operations|backup_job_failed|Notification backup failed|A backup failed. Reference: {{reference}}. Follow the recovery runbook and verify the age of the last independently recoverable backup.
platform-restore-test|staff-platform|core|operational|operations|restore_drill_report_approved|Recovery test report available|A recovery-test report is available for {{reference}}. Review the measured results and unresolved actions in the operations record.
platform-certificate-expiring|staff-platform|core|operational|operations|certificate_expiry_threshold_crossed|Notification certificate needs renewal|A notification endpoint certificate needs renewal. Reference: {{reference}}. Renew and verify it before the recorded expiry time.
platform-sync-result|staff-platform|core|operational|operations|workflow_sync_result_recorded|Notification workflow sync result|The workflow synchronisation result for {{reference}} is available. A successful sync does not prove that email delivery passed.
platform-drift-detected|staff-platform|core|operational|operations|workflow_release_drift_detected|Notification configuration drift detected|The active notification setup differs from its approved release. Reference: {{reference}}. Review the changes before further promotion.
recurring-mandate-created|customer|growth|essential|security|approved_mandate_created|Recurring payment instruction created|A recurring payment instruction was created. Review the authorised amount rules, schedule and cancellation options in the app.
recurring-payment-due|customer|growth|transactional|core|active_mandate_payment_due_and_notice_required|Scheduled payment reminder|A payment under your active instruction is approaching. Review its schedule and available funds in the app.
recurring-payment-completed|customer|growth|transactional|receipt|scheduled_payment_success_and_posting_confirmed|Scheduled payment completed|A scheduled payment of {{amount}} was completed. Reference: {{reference}}. View the instruction and receipt in the app.
recurring-payment-failed|customer|growth|transactional|support|scheduled_payment_definitively_failed|Scheduled payment could not complete|A scheduled payment was unsuccessful. Review the instruction and any permitted retry in the app. No unapproved retry is implied.
recurring-mandate-cancelled|customer|growth|essential|core|mandate_revocation_committed|Recurring instruction cancelled|Your recurring instruction was cancelled for future eligible executions. Already submitted payments are tracked separately.
business-invitation|business|growth|essential|security|business_membership_invitation_active|Business account invitation|You have a business-account invitation. Complete the verified onboarding process to review the organisation and proposed role.
business-kyb-update|business|growth|essential|support|customer_safe_kyb_update_approved|Business verification update|Your business verification has an update. Open the authorised business dashboard for the decision or additional information required.
business-payout-approval|business|growth|essential|operations|business_payout_awaits_eligible_approver|Business payout needs approval|A business payout requires an authorised approver. Reference: {{reference}}. Review it in the dashboard; email replies cannot approve payments.
business-bulk-summary|business|growth|transactional|core|bulk_batch_report_ready|Bulk payment report ready|Your batch report is ready. Reference: {{reference}}. Review each item because completed, pending and unsuccessful items are tracked separately.
business-payroll-summary|business|growth|transactional|core|payroll_batch_report_ready|Payroll processing report ready|The payroll report is ready. Reference: {{reference}}. Individual outcomes and any unresolved items are available in the authorised dashboard.
merchant-payment-received|business|growth|transactional|receipt|merchant_collection_verified_and_posted|Merchant payment confirmed|A merchant payment of {{amount}} was confirmed. Reference: {{reference}}. Settlement is tracked separately in the business dashboard.
merchant-settlement-paid|business|growth|transactional|receipt|merchant_settlement_confirmed|Merchant settlement confirmed|A settlement of {{amount}} was confirmed. Reference: {{reference}}. View the eligible transactions and deductions in the dashboard.
merchant-invoice-issued|customer|growth|transactional|core|invoice_issued_to_verified_opted_recipient|An invoice is ready to review|An invoice is available for your review. Open the verified payment details and confirm the merchant before authorising payment.
merchant-invoice-overdue|customer|growth|optional|support|invoice_unpaid_reminder_authorised|Invoice reminder|An invoice remains unpaid according to its current record. Review it before paying and contact the merchant about discrepancies.
merchant-refund-completed|customer|growth|transactional|receipt|merchant_refund_confirmed|Merchant refund confirmed|A merchant refund of {{amount}} was confirmed. Reference: {{reference}}. Review the original payment and destination in the app.
growth-payment-request|customer|growth|optional|core|payment_request_recipient_permission_confirmed|A payment request is available|Someone has requested a payment through the app. Review the sender and amount. A request does not authorise a debit.
growth-cashback-posted|customer|growth|transactional|receipt|cashback_earned_and_journal_posted|Cashback credited|Cashback of {{amount}} was credited under the applicable offer. Reference: {{reference}}. View the terms and record in the app.
growth-referral-update|customer|growth|optional|core|referral_status_changed_and_notice_allowed|Referral status update|Your referral has an update. Open the app for eligibility and any reward conditions. No reward is promised before confirmation.
growth-campaign|customer|growth|marketing|campaign|campaign_approved_current_optin_and_eligible|An offer for your account|An approved offer is available in the app. Review the eligibility rules, dates and full terms before participating.
growth-budget-alert|customer|growth|optional|core|customer_budget_threshold_crossed|Your budget alert|You reached a budget threshold you selected. Review your categories and spending in the app.
regulated-card-status|customer|regulated|essential|security|approved_card_product_status_committed|Your card status changed|Your card status was updated. Review it in the approved card service. This email contains no card number, PIN or security code.
regulated-card-dispute|customer|regulated|essential|support|approved_card_dispute_update|Card dispute update|Your card dispute has an update. Review the secure case for evidence deadlines, the outcome and any review options.
regulated-loan-decision|customer|regulated|essential|support|approved_credit_product_customer_decision|Credit application update|A decision is available for your credit application. Review the approved terms and any required disclosures before accepting.
regulated-loan-payment-due|customer|regulated|essential|support|approved_credit_due_notice_policy|Repayment information available|A repayment notice is available in the approved credit service. Review the amount, due date and support options securely.
regulated-savings-statement|customer|regulated|transactional|core|approved_savings_statement_ready|Savings statement available|Your savings statement is available through the approved product. Review its provider, terms and applicable protections there.
regulated-investment-update|customer|regulated|essential|support|approved_investment_notice_recorded|Investment account notice|An investment account notice is available through the approved product. Review the terms and risks in the secure application.
regulated-fx-remittance|customer|regulated|transactional|core|approved_remittance_customer_status_committed|Remittance status update|Your remittance has a status update. Review the original operation, exchange terms and current settlement state in the approved service.
regulated-insurance-notice|customer|regulated|essential|support|approved_insurance_policy_notice|Insurance policy notice|A notice is available for your insurance policy. Review the insurer, coverage, dates and available actions in the approved service.
regulated-agent-settlement|business|regulated|transactional|core|approved_agent_settlement_report_ready|Agent settlement report available|An agent settlement report is available. Review the original records, exceptions and approved settlement process in the dashboard.
regulated-escrow-release|customer|regulated|essential|support|approved_escrow_release_state_committed|Escrow status update|Your escrow transaction has an update. Review the agreed conditions and current financial state in the approved service.
